Player,Team Name,Assists
比拉吉,佛罗伦萨,4,https://sd.qunliao.info/fastdfs3/M00/B6/E3/ChOxM1xC--aAOyR8AABp1wFaANc164.png
斯皮纳佐拉,罗马,4,https://sd.qunliao.info/fastdfs6/M00/1B/62/rBUESWDEI3qAWpCrAAAaafg1Lag004.jpg
迪洛伦佐,那不勒斯,4,https://sd.qunliao.info/fastdfs6/M00/1B/62/rBUESWDEI6mAeAG7AAAbw4iTpoA551.jpg
拉比奥,尤文图斯,4,https://sd.qunliao.info/fastdfs6/M00/02/79/rBUCgGN72c-ANcR_AAAcms_0GIU702.jpg
萨纳夫里亚,都灵,4,https://sd.qunliao.info/fastdfs3/M00/B6/DA/ChOxM1xC-42AGQKnAAB2K4PJHdI531.png
拉兹万-马林,恩波利,4,https://sd.qunliao.info/fastdfs5/M00/40/7E/rB8BO19gmziAGXnTAAAZeBPJAuU301.jpg
卡拉布里亚,AC米兰,4,https://sd.qunliao.info/fastdfs6/M00/BB/A0/rBUCgGMVcVyAETuwAAAg2vBPQPE283.jpg
巴斯托尼,斯佩齐亚,4,https://sd.qunliao.info/fastdfs5/M00/40/6E/rB8CCl9gNUiAAL9zAAAWREphZUE051.jpg
曼德拉戈拉,佛罗伦萨,4,https://sd.qunliao.info/fastdfs3/M00/B5/DC/ChOxM1xC6Y6AWqVcAABn1LkatBI080.png
邓弗里斯,国际米兰,4,https://sd.qunliao.info/fastdfs6/M00/DF/F4/rBUCgGN3O26Adg2tAAAag0vrVc4788.jpg
埃布埃希,恩波利,4,https://sd.qunliao.info/fastdfs3/M00/B5/E2/ChOxM1xC6eyAc4Q4AAAoLqQ25hI560.jpg
伊科内,佛罗伦萨,4,https://sd.qunliao.info/fastdfs5/M00/3B/C9/rB8BO19NsJyAT4kDAAAXhUp5mzE931.jpg
库普梅纳斯,亚特兰大,4,https://sd.qunliao.info/fastdfs6/M00/DF/EC/rBUCgGN3OlSAU5dgAAAahaV0m9M185.jpg
奥尔索利尼,博洛尼亚,4,https://sd.qunliao.info/fastdfs3/M00/B5/FE/ChOxM1xC65KAAvo5AABrz4TJFD0057.png
夸梅,佛罗伦萨,4,https://sd.qunliao.info/fastdfs6/M00/2A/F8/rBUCgGD34OGATiVFAAAbsZX7_R4905.jpg
奥斯梅恩,那不勒斯,4,https://sd.qunliao.info/fastdfs6/M00/D5/D2/rBUCgGMZVCeARHxWAAAY1cGLaTg080.jpg
埃斯佩托,莱切,4,https://sd.qunliao.info/fastdfs4/M00/DC/A4/ChMf8F1w5XWAN9nRAAAZdSjUBuY085.jpg
赫尤尔曼德,莱切,4,https://sd.qunliao.info/fastdfs6/M00/01/87/rBUESWBiiqGAGoBfAAAYd9mE6KQ902.jpg
拉扎尔-萨马尔季奇,乌迪内斯,4,https://sd.qunliao.info/fastdfs6/M00/7F/60/rBUESWMNe_uAGr62AAAXvuq9gj4345.jpg
乌多基,乌迪内斯,4,https://sd.qunliao.info/fastdfs6/M00/9E/B4/rBUCgGNuFleADAWXAAAccwBphQE487.jpg
哲科,国际米兰,3,https://sd.qunliao.info/fastdfs6/M00/2C/7D/rBUESWMoHEmATsTRAAAdWWH6Nxg287.jpg
佩德罗,拉齐奥,3,https://sd.qunliao.info/fastdfs4/M00/D5/7C/ChMf8F1X29eAb1QEAAAdaF8WiGU373.jpg
夸德拉多,尤文图斯,3,https://sd.qunliao.info/fastdfs3/M00/B6/44/ChOxM1xC75KAcFt6AAAt6-F1DaY305.jpg
法劳尼,维罗纳,3,https://sd.qunliao.info/fastdfs4/M00/DC/A2/ChMf8F1w1k2APEswAAAa2Su52jQ654.jpg
罗伯托-索里亚诺,博洛尼亚,3,https://sd.qunliao.info/fastdfs3/M00/B6/59/ChOxM1xC8LyAByGwAAB3hQqR6AQ478.png
达尼洛,尤文图斯,3,https://sd.qunliao.info/fastdfs6/M00/2E/21/rBUCgGN_jkqAU-RsAAAcbYNh7m4745.jpg
穆里尔,亚特兰大,3,https://sd.qunliao.info/fastdfs3/M00/B6/6F/ChOxM1xC8j-AMsyMAAAsd-BParo586.jpg
布拉比亚,斯佩齐亚,3,https://sd.qunliao.info/fastdfs6/M00/36/4A/rBUCgGEaFOKAMNX4AAAYVfaF6wo053.jpg
萨波纳拉,佛罗伦萨,3,https://sd.qunliao.info/fastdfs3/M00/B6/BE/ChOxM1xC-b6AG5x-AABxBtZyCtg993.png
拉扎罗,都灵,3,https://sd.qunliao.info/fastdfs6/M00/19/DC/rBUCgGC_FrSAO_G2AAAdjJ3jpIw690.jpg
波利塔诺,那不勒斯,3,https://sd.qunliao.info/fastdfs3/M00/B6/C1/ChOxM1xC-f2ASGMnAABvOBGmlr0878.png
迪马尔科,国际米兰,3,https://sd.qunliao.info/fastdfs6/M00/2C/8F/rBUCgGMoIPGAToPQAAAcARiPqMM428.jpg
约维奇,佛罗伦萨,3,https://sd.qunliao.info/fastdfs6/M00/2F/2B/rBUESWN_m1yAF6MrAAAaMbr4hB4843.jpg
佩西纳,蒙扎,3,https://sd.qunliao.info/fastdfs6/M00/1B/61/rBUESWDEIa6AA07ZAAAZS569DQs200.jpg
基里亚科普洛斯,博洛尼亚,3,https://sd.qunliao.info/fastdfs5/M00/43/74/rB8BO19sTiWAQiziAAAZaYwZUaw879.jpg
洛萨诺,那不勒斯,3,https://sd.qunliao.info/fastdfs6/M00/02/5B/rBUCgGN7zXWAVuTuAAAaVxxyyUE491.jpg
马佐基,萨勒尼塔纳,3,https://sd.qunliao.info/fastdfs6/M00/36/47/rBUESWEaB96AZudmAAAapeOJOc8936.jpg
特奥-埃尔南德斯,AC米兰,3,https://sd.qunliao.info/fastdfs6/M00/02/7F/rBUCgGN73ACAIfxlAAAeQ12AOVM900.jpg
亚伯拉罕,罗马,3,https://sd.qunliao.info/fastdfs4/M00/D5/7B/ChMf8F1X2NGAFndpAAAdcA1UZdM824.jpg
拉萨纳-库利巴利,萨勒尼塔纳,3,https://sd.qunliao.info/fastdfs5/M00/3B/F0/rB8CCl9OF7SAHAhrAAAY8-7U2LU942.jpg
埃尔马斯,那不勒斯,3,https://sd.qunliao.info/fastdfs6/M00/1B/85/rBUESWDEi6KAAExqAAAcsuXV6kM357.jpg
多多,佛罗伦萨,3,https://sd.qunliao.info/fastdfs3/M00/B6/0D/ChOxM1xC7GSATVbfAAAqd75TUCs020.jpg
罗热里奥,萨索洛,3,https://sd.qunliao.info/fastdfs4/M00/C8/EC/ChMf8FyUosGAaK3iAAAbEcUrVCU373.jpg
梅勒,亚特兰大,3,https://sd.qunliao.info/fastdfs6/M00/01/3A/rBUESWN7rACAWBcnAAAaQVwcqfI918.jpg
博海姆,萨勒尼塔纳,3,https://sd.qunliao.info/fastdfs6/M00/4E/43/rBUESWFyFzyAIdLoAAAa4GRxGWY708.jpg
伊万-伊利奇,都灵,3,https://sd.qunliao.info/fastdfs6/M00/2F/40/rBUCgGN_naiAU0O-AAAZ2mMOkjk625.jpg
哈米德-特拉奥雷,萨索洛,3,https://sd.qunliao.info/fastdfs6/M00/36/4C/rBUESWEaFW-AKPzJAAAX6mEWURI641.jpg
瓦莱里,克雷莫内塞,3,https://sd.qunliao.info/fastdfs6/M00/B3/DE/rBUESWK5XzGABZQvAAAcKgWXq4I243.jpg
布拉达里奇,萨勒尼塔纳,3,https://sd.qunliao.info/fastdfs4/M00/CB/4C/ChNLkl0-YlmALZxQAAAXC7KUvwQ346.jpg
萨勒马克尔斯,AC米兰,3,https://sd.qunliao.info/fastdfs6/M00/BB/9A/rBUCgGMVcHyAOMkLAAAa8Swwb8s327.jpg
法乔利,尤文图斯,3,https://sd.qunliao.info/fastdfs6/M00/C3/3C/rBUCgGQhDwuAGUvzAAAZkEBYd48736.jpg
索佩,亚特兰大,3,https://sd.qunliao.info/fastdfs4/M00/CA/9C/ChMf8F0RvnSAOl7lAAAa79Zl2n4275.jpg
多伊格,维罗纳,3,https://sd.qunliao.info/fastdfs5/M00/68/86/rB8CCmASG6OAHE5OAAAeGXO4vP4665.jpg
安德烈亚-坎比亚索,博洛尼亚,3,https://sd.qunliao.info/fastdfs6/M00/30/0F/rBUESWEI6E-ACfijAAAWF_scetw550.jpg
霍安-冈萨雷斯,莱切,3,https://sd.qunliao.info/fastdfs6/M00/B8/82/rBUESWLH102AAE3jAAAZRmQg8cs323.jpg
达米安,国际米兰,2,https://sd.qunliao.info/fastdfs6/M00/4A/DE/rBUCgGFkDAGAYFBoAAAgwuCBhsc343.jpg
久里奇,维罗纳,2,https://sd.qunliao.info/fastdfs3/M00/B5/DE/ChOxM1xC6a-AaNTDAAAm9gCyZqg198.jpg
埃克达尔,斯佩齐亚,2,https://sd.qunliao.info/fastdfs5/M00/13/F0/rB8BO16ht3WAEYBzAACJ_kcT8wE348.png
杜万-萨帕塔,亚特兰大,2,https://sd.qunliao.info/fastdfs4/M00/FC/3B/ChNLkl4iy0mAJGVoAAAd7JuC16o692.jpg
马蒂奇,罗马,2,https://sd.qunliao.info/fastdfs4/M00/D1/D2/ChMf8F1NSLSAEsG5AAAbQ_sIkJw000.jpg
姆希塔良,国际米兰,2,https://sd.qunliao.info/fastdfs6/M00/2C/8B/rBUESWMoH0OAFBE_AAAblsSiiKs808.jpg
林孔,桑普多利亚,2,https://sd.qunliao.info/fastdfs3/M00/B6/2C/ChOxM1xC7jqAcvH3AABxwhUyNLs166.png
沙拉维,罗马,2,https://sd.qunliao.info/fastdfs6/M00/42/DB/rBUESWFC8xOAI2eJAAAYL8RwoAo279.jpg
丹布罗西奥,国际米兰,2,https://sd.qunliao.info/fastdfs6/M00/2C/95/rBUESWMoIWeANkWAAAAfe3HJPew222.jpg
桑索内,博洛尼亚,2,https://sd.qunliao.info/fastdfs3/M00/B6/96/ChOxM1xC9W2AEVIfAAByiH4-6z0549.png
加比亚迪尼,桑普多利亚,2,https://sd.qunliao.info/fastdfs5/M00/13/EF/rB8BO16htySAOVQDAACBRq5tSNE592.png
阿切尔比,国际米兰,2,https://sd.qunliao.info/fastdfs6/M00/2C/92/rBUESWMoIM6AaLNkAAAc9O1m0VQ557.jpg
费利佩-安德森,拉齐奥,2,https://sd.qunliao.info/fastdfs4/M00/D2/3F/ChNLkl1OjJWAQe3FAAAf1KblsfI715.jpg
梅特,克雷莫内塞,2,https://sd.qunliao.info/fastdfs6/M00/89/74/rBUESWMO1wyAV5XIAAAfUduCEoQ137.jpg
卡普拉里,蒙扎,2,https://sd.qunliao.info/fastdfs3/M00/B6/F6/ChOxM1xC_OSAB-6zAABj4rCHm-Y730.png
雷比奇,AC米兰,2,https://sd.qunliao.info/fastdfs6/M00/BB/7F/rBUCgGMVbPmAJ7wHAAAaDtj0BgE265.jpg
扎帕科斯塔,亚特兰大,2,https://sd.qunliao.info/fastdfs3/M00/B7/1C/ChOxM1xC_9CALnJ6AABu8Y6cId8324.png
帕萨利奇,亚特兰大,2,https://sd.qunliao.info/fastdfs6/M00/0D/5D/rBUESWN82PiAQOWeAAAagx8VlHM245.jpg
马利诺夫斯基,亚特兰大,2,https://sd.qunliao.info/fastdfs4/M00/FC/3B/ChNLkl4iylKAEQK-AAAdt2zipdA576.jpg
贝洛蒂,罗马,2,https://sd.qunliao.info/fastdfs3/M00/B6/AB/ChOxM1xC-CyALt4EAABNrPZ85FQ095.jpg
马鲁西奇,拉齐奥,2,https://sd.qunliao.info/fastdfs3/M00/B6/DD/ChOxM1xC-6uALB9qAABprpUTGlg114.png
拉多尼奇,都灵,2,https://sd.qunliao.info/fastdfs6/M00/2F/24/rBUESWN_mumAf9CiAAAebE07BzE644.jpg
迪弗朗西斯科,莱切,2,https://sd.qunliao.info/fastdfs3/M00/B6/F8/ChOxM1xC_QaAZRg_AAB7mCamb9M318.png
加尔达梅斯,克雷莫内塞,2,https://sd.qunliao.info/fastdfs6/M00/1A/F5/rBUCgGDDFBmASkZZAAAXm52r3Y0394.jpg
斯特凡-波施,博洛尼亚,2,https://sd.qunliao.info/fastdfs5/M00/12/30/rB8BO16ZVNiACuYkAAAc4z29puw824.jpg
洛卡特利,尤文图斯,2,https://sd.qunliao.info/fastdfs6/M00/1B/5F/rBUCgGDEISOAKnMIAAAd6X4SuK4874.jpg
恩佐拉,斯佩齐亚,2,https://sd.qunliao.info/fastdfs5/M00/4F/70/rB8BO1-fcYSAMaU0AAAZ3m6OyPk986.jpg
洛乔什维利,克雷莫内塞,2,https://sd.qunliao.info/fastdfs3/M00/B5/D7/ChOxM1xC6UuAMI0uAABxjIQ0MwU037.png
德瑟斯,克雷莫内塞,2,https://sd.qunliao.info/fastdfs6/M00/89/A2/rBUESWI8E6OADf1UAAAhAPKqFQ4057.jpg
肖穆罗多夫,斯佩齐亚,2,https://sd.qunliao.info/fastdfs6/M00/42/DB/rBUESWFC8uSAAgvDAAAaShHYuaI572.jpg
本纳赛尔,AC米兰,2,https://sd.qunliao.info/fastdfs6/M00/BB/8B/rBUCgGMVbm6AImL1AAAc8tXyr6M810.jpg
拉萨尼亚,维罗纳,2,https://sd.qunliao.info/fastdfs4/M00/C8/FE/ChNLklybK9OATBJ_AAAZIPGrnks475.jpg
詹卢卡-曼奇尼,罗马,2,https://sd.qunliao.info/fastdfs4/M00/C9/01/ChMf8FybLTyAG409AAAXHTQYIp8069.jpg
何塞-马钦,蒙扎,2,https://sd.qunliao.info/fastdfs6/M00/B2/D6/rBUCgGK1lxmAOmi-AAAe2BkoZW8584.jpg
索尔巴肯,罗马,2,https://sd.qunliao.info/fastdfs6/M00/4E/45/rBUCgGFyF6qALIQeAAAZWt_flLQ233.jpg
马蒂亚斯-奥利韦拉,那不勒斯,2,https://sd.qunliao.info/fastdfs6/M00/21/EE/rBUCgGN-hIOAbU-wAAAbjazFG0g174.jpg
拉默斯,桑普多利亚,2,https://sd.qunliao.info/fastdfs6/M00/36/B2/rBUCgGEbciCAXVqkAAAgqj9kw_8034.jpg
巴斯托尼,国际米兰,2,https://sd.qunliao.info/fastdfs6/M00/2C/AA/rBUESWMoJemABpeRAAAbMF1_rko353.jpg
德保利,维罗纳,2,https://sd.qunliao.info/fastdfs5/M00/13/F0/rB8BO16ht5iAbzKHAAAZCEOA9bs216.jpg
舒尔斯,都灵,2,https://sd.qunliao.info/fastdfs4/M00/C9/05/ChMf8FycoT-AQdwJAAAWnj2YJ6U335.jpg
弗拉霍维奇,尤文图斯,2,https://sd.qunliao.info/fastdfs6/M00/2F/30/rBUESWN_m8GACGMfAAAZE5RXJWc415.jpg
塞尔尼科拉,克雷莫内塞,2,https://sd.qunliao.info/fastdfs6/M00/B3/DF/rBUESWK5YbeAE0jQAAAenlpXogU934.jpg
斯豪滕,博洛尼亚,2,https://sd.qunliao.info/fastdfs3/M00/B6/1E/ChOxM1xC7WCAfvW3AABneIE3EFE162.png
拉斯帕多里,那不勒斯,2,https://sd.qunliao.info/fastdfs4/M00/FC/44/ChMf8F4i4DaAaA6xAAAboaRXErc885.jpg
布奥吉奥诺,都灵,2,https://sd.qunliao.info/fastdfs5/M00/43/8B/rB8CCl9sbI-AcLL4AAAanXdSTAQ429.jpg
金玟哉,那不勒斯,2,https://sd.qunliao.info/fastdfs6/M00/29/96/rBUESWN_RDOAbSydAAAaNomJN5Q882.jpg
尼古拉斯-多明格斯,博洛尼亚,2,https://sd.qunliao.info/fastdfs6/M00/1D/CD/rBUESWDK-k6AaJ-bAAAWaD6CBjc355.jpg
比约尔,乌迪内斯,2,https://sd.qunliao.info/fastdfs3/M00/B6/49/ChOxM1xC79WATWtUAAAfAB8lc-w722.jpg
儒尼奥尔-梅西亚斯,AC米兰,2,https://sd.qunliao.info/fastdfs6/M00/BB/87/rBUCgGMVbfKAcKvBAAAc6QYeiig779.jpg
索蒂尔,佛罗伦萨,2,https://sd.qunliao.info/fastdfs3/M00/B6/4C/ChOxM1xC8AaAUvBKAABkAi0Nadw502.png
扎诺利,桑普多利亚,2,https://sd.qunliao.info/fastdfs6/M00/7D/D2/rBUCgGITOd6AVqinAAAczOW0SiU737.jpg
齐尔克泽,博洛尼亚,2,https://sd.qunliao.info/fastdfs6/M00/7A/4D/rBUESWLzcJGAD-sPAAAnwUy1zJQ199.jpg
让德雷,莱切,2,https://sd.qunliao.info/fastdfs4/M00/D0/32/ChNLkl1JMLeADq02AAAf1kodU9A640.jpg
罗韦拉,蒙扎,2,https://sd.qunliao.info/fastdfs6/M00/37/76/rBUCgGEeCB6AN9smAAAZQf5QsOs533.jpg
洛伦佐-科隆博,莱切,2,https://sd.qunliao.info/fastdfs6/M00/37/79/rBUESWEeBumASS5DAAAZFod2Pik770.jpg
达尼柳克,萨勒尼塔纳,2,https://sd.qunliao.info/fastdfs5/M00/3C/23/rB8CCl9PCeaAHHpAAAAYK2VgLkI151.jpg
法比奥-米雷蒂,尤文图斯,2,https://sd.qunliao.info/fastdfs6/M00/F4/8E/rBUCgGLgrH2AEXD3AAAdHTIg4KI472.jpg
赫伊伦德,亚特兰大,2,https://sd.qunliao.info/fastdfs6/M00/5A/0F/rBUCgGMIlYKAf-cgAAAZtsuteRM583.jpg
斯卡尔维尼,亚特兰大,2,https://sd.qunliao.info/fastdfs6/M00/54/7B/rBUCgGGIh4qARMQqAAAfw_kbnmc984.jpg
卡修斯,博洛尼亚,2,https://sd.qunliao.info/fastdfs6/M00/7B/89/rBUESWILaouAfEuUAAAfIwmhEPc990.jpg
